date,insta_handle,likes,likes_nan,momentum_absolute,momentum_relative,date_string,percentile_rma,percentile_relmomentum
2022-02-17 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,,,2022-02-17 ,7.446584570045259,
2022-02-18 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-12667.083333333328,-0.11024849338059352,2022-02-18 ,7.446584570045259,19.31901905062625
2022-02-19 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-13425.333333333328,-0.11608187640145026,2022-02-19 ,7.446584570045259,18.866435112093463
2022-02-20 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-13425.333333333328,-0.11608187640145026,2022-02-20 ,7.446584570045259,18.866435112093463
2022-02-21 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-17769.83333333333,-0.14808379549188805,2022-02-21 ,7.446584570045259,16.035154194295338
2022-02-22 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-17769.83333333333,-0.14808379549188805,2022-02-22 ,7.446584570045259,16.035154194295338
2022-02-23 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-17769.83333333333,-0.14808379549188805,2022-02-23 ,7.446584570045259,16.035154194295338
2022-02-24 00:00:00+00:00,jordan_poole,3407.6222222222223,102228.66666666667,-17769.83333333333,-0.14808379549188805,2022-02-24 ,7.446584570045259,16.035154194295338
2022-02-25 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-27450.75,-0.2287591094888686,2022-02-25 ,6.194084833175455,10.625197347647616
2022-02-26 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-27450.75,-0.2287591094888686,2022-02-26 ,6.194084833175455,10.625197347647616
2022-02-27 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-27450.75,-0.2287591094888686,2022-02-27 ,6.194084833175455,10.625197347647616
2022-02-28 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-02-28 ,6.194084833175455,19.74002736554047
2022-03-01 00:00:00+00:00,jordan_poole,4113.233333333334,92547.75,-11221.916666666672,-0.10814255289760338,2022-03-01 ,6.194084833175455,19.74002736554047
